State,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Change
UNITED STATES,1148198722191,1287441996730,1056042963028,1278494525839,1482507755226,1545820839892,1578516879950,1621873792910,1503328349746,1451023529686,1546272961061,34.67
Texas,168228620315,192221780916,162994740450,206992356499,251104278477,264664928203,277715515839,285559318623,248780410089,231310075313,264541375151,57.25
California,134318906761,144805748349,120079965765,143208226608,159421393886,161757310648,168191551560,173868587862,165360377800,163438922625,172012424917,28.06
New York,71115801477,81385735231,58743030056,69684943969,84999347161,81337507054,86407154917,88834326287,83124545673,76690176622,77914558985,9.56
Washington,52089477068,54498049919,51850856743,53345329885,64800272158,75654307226,81629977930,90558268785,86374679575,79553463482,76413737305,46.70
Illinois,48896249905,53677477963,41626110699,50060707025,64902904219,68157880309,66212888783,68394004251,63368690936,59680981292,65186967352,33.32
Florida,44858050410,54238239529,46888006761,55399353874,65009786038,66222522916,60482238924,58438831859,53903078437,52031706238,54914286865,22.42
Michigan,44555349131,45135506345,32655333884,44851338759,51063992243,57051460900,59399808175,57573110364,53944933483,54752204422,59870398343,34.37
Ohio,42562233016,45627982845,34104484238,41504651676,46457638989,48818903140,51048198341,52641380990,51261855967,49330259120,50102778107,17.72
Unallocated,38893711264,42188054504,33619608007,45731777165,45348531624,47950281362,47688946411,49023848996,46775471102,45780371140,48616823670,25.00
New Jersey,30836468846,35643101080,27244246431,32130944531,38172316758,37285604108,36611873709,36586974597,32063000744,31177525877,34486254219,11.84
Louisiana,30318911145,41908136496,32616451452,41370690441,54971153986,62868766110,63247023570,64770099653,48678638510,48334627117,57005306097,88.02
Pennsylvania,29195435464,34648502042,28381102168,34942927237,41103128737,38851915248,41180765931,40410834695,39439356000,36453179733,38701910724,32.56
Indiana,25956346037,26502291510,22907367488,28764260136,32332054981,34398866943,34216019331,35589050696,33819142544,34650955663,37737142595,45.39
Massachusetts,25351439596,28369195305,23593277279,26304882035,27870976882,25613948758,26812015718,27384173954,25289294372,25893684058,27565803092,8.73
Georgia,23365865349,27513961882,23743041911,28898749200,34863073945,36038507034,37578244152,39412653245,38596033966,35672839815,37223837577,59.31
North Carolina,23355818431,25090543442,21792953156,24917912305,27067046870,28838731833,29347122545,31420001053,30201786519,30180143821,32622498537,39.68
Tennessee,21864789113,23237724782,20484299844,25947896703,30016116443,31142980349,32473718590,33250895441,32616848576,31494712373,33246125960,52.05
Kentucky,19652095856,19120585559,17649768303,19346214603,20118878938,22131550324,25411715048,27757391814,27636602594,29201009637,30857274879,57.02
Arizona,19227791370,19784243422,14023462270,15720859418,17884512214,18404658712,19478291051,21247281881,22654209483,22003209633,20916891074,8.78
Wisconsin,18825489177,20569621721,16724996880,19800247695,22068884434,23118995133,23110467863,23425570899,22441969520,21032744599,22306123122,18.49
Puerto Rico,18078284156,19961283553,20937064690,22783517073,18218793751,18689534048,19965846341,20280625808,20179478921,19871938080,15876024187,-12.18
Minnesota,18061826408,19186171449,15531557833,18903679573,20732142776,20826551885,20760138727,21397601177,20013268583,19200338484,20691899142,14.56
Virginia,16864469904,18941608711,15052091034,17168563818,18124713206,18276950734,17896130606,19390790669,17801081926,16310984553,16508625655,-2.11
South Carolina,16575455732,19852520521,16488111133,20335645295,24732577525,25115454630,26341157286,29773013706,31021185321,31323566401,32199071485,94.26
Oregon,16530875039,19352130713,14907405450,17684177481,18316969121,18387857493,18633579686,20888784627,20057330956,21771701472,21895180035,32.45
Alabama,14406676895,15879048527,12354803017,15495257436,17927675723,19576975820,19301321716,19450396592,19322187070,20471176333,21786302247,51.22
Connecticut,13799141842,15384102725,13978898792,16028821292,16232753929,15871128934,16426678593,15962841243,15241755287,14393826258,14783749496,7.14
Missouri,13483588154,12852324415,9522229617,12924556333,14161092655,13903241672,12958224737,14189644211,13646633414,13934568189,14206201895,5.36
Kansas,10277477026,12513976006,8916920376,9899680110,11623395759,11683937630,12459173965,12021862442,10689483823,10154439879,11243466985,9.40
Iowa,9655733616,12124631240,9042125564,10879762927,13316520712,14622238610,13903372889,15111534141,13238360275,12122360513,13398999818,38.77
Maryland,8948636829,11383050502,9225376423,10167475739,10862556152,11745126175,11746717983,12228280714,10052096811,9652843349,9317488168,4.12
Utah,7814523484,10305992531,10337135031,13808477247,18968255935,19259911881,16111186086,12224102182,13307637767,12077653050,11583303332,48.23
Colorado,7352198821,7712606567,5867265731,6726497299,7338212066,8170084468,8545014991,8363706004,7949646477,7580715267,8054115249,9.55
Nevada,5713833904,6121087925,5672185096,5912569270,7989585602,10261239230,8701076294,7691747589,8666515430,9765631658,12162489116,112.86
Mississippi,5184420753,7323468227,6316488807,8223946006,10938941186,11793765943,12415151592,11484927655,10848570073,10504702756,10994562973,112.07
Arkansas,4886844975,5775976750,5266978589,5219461184,5610951001,7615199432,7160838005,6866248634,5870914766,5721722034,6234386771,27.57
Idaho,4703433247,5005251812,3877389493,5156539809,5912953426,6119917408,5789446916,5137755733,4302089548,4876935097,3864104256,-17.85
Oklahoma,4579067887,5076531187,4414915717,5354115399,6227675655,6578543474,6919746438,6308264729,5250680332,5046076938,5364366602,17.15
Nebraska,4266141656,5412021410,4872924899,5820958718,7587579923,7454953988,7392988737,7889684505,6663666425,6381339479,7206415361,68.92
Delaware,4024183349,4898437003,4311773339,4945070165,5516259705,5113816930,5327267160,5267417899,5407657594,4517474993,4565608426,13.45
Alaska,4009894879,3541796749,3270429748,4154776632,5258939493,4543424891,4527821865,5111164364,4620072732,4350280935,4942469288,23.26
West Virginia,3987020782,5643487491,4825570207,6443030890,9039171951,11407152053,8731720788,7597011063,5832736966,5045347898,7110478863,78.34
Vermont,3684920270,3697411932,3219270656,4278137163,4274554194,4139192306,4026539545,3669605649,3176353744,2993022013,2775987127,-24.67
New Hampshire,2914139835,3752476603,3060715994,4368161140,4306552050,3487646930,3511047837,4233171217,4001321678,4143673387,5147883719,76.65
Maine,2750326347,3016395471,2231142502,3162186695,3422092609,3047876076,2686755180,2811060491,2761768870,2863225983,2711926781,-1.40
New Mexico,2585121373,2782906663,1269535234,1542649869,2095859917,2957808347,2726138754,3801606959,3781702640,3616164037,3609592546,39.63
North Dakota,2046659843,2772203944,2193011373,2532206235,3392765415,4310298012,4401699407,5513078376,4027220564,5291547745,5835485591,185.12
Rhode Island,1648709556,1974431973,1495522447,1948784173,2288561451,2365686090,2164107517,2388479292,2132706241,2278135830,2391706418,45.07
South Dakota,1509876310,1653712654,1010960601,1259405035,1461508120,1557347169,1582153214,1577588645,1420507519,1218050215,1359713826,-9.95
Montana,1133672004,1394600906,1053312395,1393457515,1591805934,1575986341,1505796258,1544908682,1404092314,1360041819,1616011724,42.55
District of Columbia,1082135647,1195906725,1090543044,1482780613,1041193908,2014104361,2707702081,940230516,1088013785,1330673785,1483077078,37.05
Virgin Islands,808339747,2747339175,1217003134,1898500613,2315770889,867387121,997442552,1405298828,149297341,296466990,960943090,18.88
Wyoming,802170915,1081014094,926141589,983304393,1218714268,1439194146,1350619355,1757262877,1174994159,1098652374,1196386455,49.14
Hawaii,560071275,959607734,563059688,684102935,884370236,731679354,598738461,1447489746,1896394504,795459312,952418785,70.05
