,Unnamed: 0,Country Name,2007,2017,Population Mean,Country Code,Population,Average Air Miles from US,Per Capita Exports
3,3,China,62936891576,129893586716,101402861792.18,CHN,1378665000,7252.0,73.55
4,4,Japan,61159582766,67605076964,63548283190.82,JPN,126994511,6321.0,500.4
5,5,United Kingdom,49981491297,56257922547,52489492766.18,GBR,65637239,4255.0,799.69
6,6,Germany,49419703142,53896753486,49415787862.64,DEU,82667685,4898.0,597.76
7,7,South Korea,34401709969,48326408702,40242589466.0,KOR,51250000,6690.0,785.22
8,8,Netherlands,32836958949,41510332962,39039003982.0,NLD,17018408,4676.0,2293.93
9,9,Hong Kong,19901654480,39939130227,32559504853.45,HKG,7347000,7903.0,4431.67
10,10,Brazil,24172315213,37221566249,35476350314.73,BRA,207652865,4537.0,170.84
11,11,France,26675969747,33595514399,29587001946.64,FRA,66896109,4775.0,442.28
12,12,Belgium,25258518805,29923692464,29402837070.36,BEL,11348159,4706.0,2590.98
13,13,Singapore,25618565860,29805915154,28397218823.36,SGP,5607283,9506.0,5064.35
14,14,Taiwan,25828669191,25729504439,25031628058.0,,23580000,7619.0,1061.56
15,15,India,14968845536,25688861698,20370555367.91,IND,1324171354,8448.0,15.38
16,16,Australia,19178197903,24526835921,24191122198.27,AUS,24127159,9437.0,1002.65
17,17,Switzerland,17039261465,21684835238,22142144363.18,CHE,8372098,4990.0,2644.75
18,18,United Arab Emirates,10786648688,20019696481,18141661930.45,ARE,9269612,7822.0,1957.11
19,19,Italy,14149624058,18404689805,15754577181.55,ITA,60600590,5369.0,259.97
20,20,Saudi Arabia,10395890781,16348000104,15352939522.36,SAU,32275687,7525.0,475.68
21,21,Chile,8148107198,13605342592,13733825783.36,CHL,17909754,5241.0,766.83
22,22,Colombia,8557677097,13312122946,13936887807.73,COL,48653419,2617.0,286.45
23,23,Malaysia,11680201598,12964461912,12668501288.27,MYS,31187265,9371.0,406.21
24,24,Israel,12887477039,12550082579,13142499404.36,ISR,8547100,6762.0,1537.66
25,25,Spain,9766108527,11063740551,10348118861.09,ESP,46443959,4730.0,222.81
26,26,Thailand,8336419189,10991613094,10128656397.18,THA,68863514,8630.0,147.08
27,27,Ireland,7776969775,10707555883,8074777966.09,IRL,4773095,4132.0,1691.73
28,28,Turkey,6498756060,9741491909,10327701608.18,TUR,79512426,6341.0,129.89
29,29,Argentina,5855853074,9585957928,8649402342.0,ARG,43847430,5584.0,197.26
30,30,Peru,4119773437,8662612010,7740953507.55,PER,31773839,3455.0,243.63
31,31,Philippines,7712299275,8450925039,7852334404.73,PHL,103320222,8222.0,76.0
32,32,Viet Nam,1903057411,8133364685,5139564909.18,,92700000,8584.0,55.44
33,33,Dominican Republic,6084052712,7827520352,6963542855.91,DOM,10648791,1998.0,653.93
34,34,Russian Federation,7283267667,6998497148,8066544594.91,RUS,144342396,5536.0,55.88
35,35,Guatemala,4065051130,6895337671,5380606073.73,GTM,16582469,1505.0,324.48
36,36,Indonesia,3969656878,6863831289,6771231257.55,IDN,261115456,9303.0,25.93
37,37,Panama,3669201342,6301303156,7067256140.09,PAN,4034119,2177.0,1751.87
38,38,Costa Rica,4580459896,6169608810,5975286799.36,CRI,4857274,2025.0,1230.17
39,39,Norway,3040287529,5453370720,3757589691.45,NOR,5232929,4477.0,718.07
40,40,Kuwait,2484016406,5143414006,2980747663.55,KWT,4052584,7280.0,735.52
41,41,Honduras,4461359257,5079663953,5060720019.27,HND,9112867,1616.0,555.34
42,42,South Africa,5521396823,5020062464,5969450768.36,ZAF,55908865,8945.0,106.77
43,43,Ecuador,2935648657,4820700634,5385421969.73,ECU,16385068,2904.0,328.68
44,44,Poland,3123428696,4523318939,3487533963.27,POL,37948016,5158.0,91.9
45,45,Austria,3109855557,4275263150,3316111806.82,AUT,8747358,5198.0,379.1
46,46,Venezuela,10200506826,4133114819,10430667275.0,,31570000,2797.0,330.4
47,47,Egypt,5259281033,3991832766,5360667072.36,,95690000,6833.0,56.02
48,48,New Zealand,2717562746,3924611227,3241203360.64,NZL,4692700,7789.0,690.69
49,49,Sweden,4472726015,3734457331,4495226584.36,SWE,9903122,4776.0,453.92
50,50,Qatar,2523625528,3124095821,3627353066.82,QAT,2569804,7629.0,1411.53
51,51,El Salvador,2313065522,3057896029,2861473247.0,SLV,6344722,1658.0,451.0
52,52,Bahamas,2468442608,3057271998,2921959673.64,,391232,1363.0,7468.61
53,53,Pakistan,1943577099,2808166960,1890163891.73,PAK,193203476,7690.0,9.78
54,54,Paraguay,1236732017,2719236832,1814722633.82,PRY,6725308,4820.0,269.83
55,55,Czech Republic,1262342930,2273780613,1727403247.82,CZE,10561633,5129.0,163.55
56,56,Morocco,1294157002,2219661823,1969467537.55,MAR,35276786,4880.0,55.83
57,57,Denmark,2889652859,2210191808,2318603222.27,DNK,5731118,4665.0,404.56
58,58,Nigeria,2777942084,2170069073,4037476501.18,NGA,185989640,6624.0,21.71
59,59,Jamaica,2315958604,2105505325,1965081546.82,JAM,2881355,1725.0,682.0
60,60,Oman,1059179720,1985049832,1598725533.27,OMN,4424762,7998.0,361.31
61,61,Jordan,856173325,1920886330,1477393593.09,JOR,9455802,6837.0,156.24
62,62,Hungary,1291867910,1888233492,1573676848.36,HUN,9817958,5390.0,160.29
63,63,Trinidad and Tobago,1779841581,1816745419,2190540141.09,TTO,1364962,2812.0,1604.84
64,64,Ukraine,1342099159,1787999300,1491964691.18,UKR,45004645,5705.0,33.15
65,65,Uruguay,640772589,1599284155,1203814452.27,URY,3444006,5439.0,349.54
66,66,Nicaragua,889963276,1589398811,1115646967.55,NIC,6149928,1790.0,181.41
67,67,Finland,3133422316,1534930626,2329838004.45,FIN,5495096,4874.0,423.98
68,68,Bangladesh,455985590,1473961033,793710366.64,BGD,162951560,8231.0,4.87
69,69,Haiti,680188060,1410575337,1079556551.64,HTI,10847334,1889.0,99.52
70,70,Lebanon,825888292,1221529041,1361666391.64,LBN,6006668,6643.0,226.69
71,71,Iraq,1560201195,1204721644,1823032537.64,IRQ,37202572,6934.0,49.0
72,72,Portugal,2478481445,1192459324,1340678759.91,PRT,10324611,4558.0,129.85
73,73,Gibraltar,593945617,1126417629,2265514134.82,GIB,34408,4801.0,12842.66
74,74,Luxembourg,925549780,1078074731,1401575799.55,LUX,582972,4793.0,2404.19
75,75,Algeria,1652434839,1059840617,1613674125.0,DZA,40606052,5455.0,39.74
76,76,Aruba,528763861,966305683,813962632.73,ABW,104822,2329.0,7765.19
77,77,Greece,2110206007,960728649,1228700950.82,GRC,10746740,5852.0,114.33
78,78,Romania,676587084,954684233,818750308.27,ROU,19705301,5627.0,41.55
79,79,Afghanistan,495283664,941428060,1239638990.0,AFG,34656032,7422.0,35.77
80,80,Bahrain,591325145,898156400,988133974.09,BHR,1425171,7562.0,693.34
81,81,Cayman Islands,640184709,885800982,701256766.36,CYM,60765,1508.0,11540.47
82,82,Ethiopia,167478262,877152409,826324189.73,ETH,102403196,8176.0,8.07
83,83,Ghana,416384899,859971235,914660859.09,GHA,28206728,6150.0,32.43
84,84,Angola,1242031263,809444868,1425410426.82,AGO,28813463,7982.0,49.47
85,85,Bermuda,660014871,693650060,660583232.82,BMU,65331,1785.0,10111.33
86,86,Curacao,0,692167798,415051565.45,CUW,159999,2390.0,2594.09
87,87,Lithuania,720302048,609272207,692159700.73,LTU,2872298,5141.0,240.98
88,88,Bolivia,277677271,594703634,661911538.0,BOL,10887882,4244.0,60.79
89,89,Saint Lucia,165252471,572438902,404674423.36,,178015,2671.0,2273.26
90,90,Marshall Islands,22887016,556988101,141535806.55,MHL,53066,6098.0,2667.17
91,91,Kazakhstan,752764327,552092011,828630468.45,KAZ,17797032,6467.0,46.56
92,92,Sint Maarten,0,545156190,427999672.73,,40005,2377.0,10698.65
93,93,Tunisia,402999020,543575125,600268460.0,TUN,11403248,5580.0,52.64
94,94,Barbados,456986883,525452357,477364177.27,BRB,284996,2775.0,1674.99
95,95,Macau; SAR of China,226447445,502136131,369609455.0,,612167,7927.0,603.77
96,96,Togo,287594314,481810854,392964380.09,TGO,7606374,6223.0,51.66
97,97,Kenya,520374633,454453344,644877697.09,KEN,48461567,8535.0,13.31
98,98,Croatia,247039191,447955755,342563339.73,HRV,4170600,5321.0,82.14
99,99,Slovakia,503251782,441620058,364504150.36,,5429000,5318.0,67.14
100,100,Antigua and Barbuda,240400286,425623529,256734519.73,ATG,100963,2485.0,2542.86
101,101,Cambodia,138840903,400220962,246205774.82,KHM,15762370,8761.0,15.62
102,102,Iceland,629632708,399258756,447564195.36,ISL,334252,3559,1339.0
