,Country Name,2007,2017,Population Mean,Country Code,Population,Average Air Miles from US,Per Capita Exports
0,World,1148198722191,1546272961061,1409047483296.2727,WLD,7442135578.0,0,189.33375622201984
1,Canada,248888144575,282265135262,271029186056.63635,CAN,36286425.0,1406.0,7469.161981557466
2,Mexico,135918138711,243314438647,197331464791.72726,MEX,127540423.0,1012.0,1547.2072316376689
3,China,62936891576,129893586716,101402861792.18182,CHN,1378665000.0,7252.0,73.55148770164023
4,Japan,61159582766,67605076964,63548283190.81818,JPN,126994511.0,6321.0,500.401810207515
5,United Kingdom,49981491297,56257922547,52489492766.181816,GBR,65637239.0,4255.0,799.6907482074591
6,Germany,49419703142,53896753486,49415787862.63636,DEU,82667685.0,4898.0,597.7642637825936
7,South Korea,34401709969,48326408702,40242589466.0,KOR,51250000.0,6690.0,785.2212578731708
8,Netherlands,32836958949,41510332962,39039003982.0,NLD,17018408.0,4676.0,2293.928079641762
9,Hong Kong,19901654480,39939130227,32559504853.454544,HKG,7347000.0,7903.0,4431.673452219211
10,Brazil,24172315213,37221566249,35476350314.72727,BRA,207652865.0,4537.0,170.84450202373694
11,France,26675969747,33595514399,29587001946.636364,FRA,66896109.0,4775.0,442.28285305257987
12,Belgium,25258518805,29923692464,29402837070.363636,BEL,11348159.0,4706.0,2590.978595767264
13,Singapore,25618565860,29805915154,28397218823.363636,SGP,5607283.0,9506.0,5064.345570459639
14,Taiwan,25828669191,25729504439,25031628058.0,,23580000.0,7619.0,1061.5618345207804
15,India,14968845536,25688861698,20370555367.909092,IND,1324171354.0,8448.0,15.383624865750638
16,Australia,19178197903,24526835921,24191122198.272724,AUS,24127159.0,9437.0,1002.6510870290499
17,Switzerland,17039261465,21684835238,22142144363.18182,CHE,8372098.0,4990.0,2644.7545601092843
18,United Arab Emirates,10786648688,20019696481,18141661930.454544,ARE,9269612.0,7822.0,1957.111250228655
19,Italy,14149624058,18404689805,15754577181.545454,ITA,60600590.0,5369.0,259.97399004771165
20,Saudi Arabia,10395890781,16348000104,15352939522.363638,SAU,32275687.0,7525.0,475.68126194691496
21,Chile,8148107198,13605342592,13733825783.363638,CHL,17909754.0,5241.0,766.8349762572751
22,Colombia,8557677097,13312122946,13936887807.727272,COL,48653419.0,2617.0,286.4523828783188
23,Malaysia,11680201598,12964461912,12668501288.272728,MYS,31187265.0,9371.0,406.2075109270636
24,Israel,12887477039,12550082579,13142499404.363638,ISR,8547100.0,6762.0,1537.6559773915876
25,Spain,9766108527,11063740551,10348118861.09091,ESP,46443959.0,4730.0,222.80871579209924
26,Thailand,8336419189,10991613094,10128656397.181818,THA,68863514.0,8630.0,147.08306051854714
27,Ireland,7776969775,10707555883,8074777966.090909,IRL,4773095.0,4132.0,1691.7278969077524
28,Turkey,6498756060,9741491909,10327701608.181818,TUR,79512426.0,6341.0,129.88789460633257
29,Argentina,5855853074,9585957928,8649402342.0,ARG,43847430.0,5584.0,197.2613296149854
30,Peru,4119773437,8662612010,7740953507.545455,PER,31773839.0,3455.0,243.6266359738732
31,Philippines,7712299275,8450925039,7852334404.727273,PHL,103320222.0,8222.0,75.99997612013719
32,Viet Nam,1903057411,8133364685,5139564909.181818,,92700000.0,8584.0,55.442987154064916
33,Dominican Republic,6084052712,7827520352,6963542855.909091,DOM,10648791.0,1998.0,653.9280239333358
34,Russian Federation,7283267667,6998497148,8066544594.909091,RUS,144342396.0,5536.0,55.88479073680536
35,Guatemala,4065051130,6895337671,5380606073.727273,GTM,16582469.0,1505.0,324.47556957454725
36,Indonesia,3969656878,6863831289,6771231257.545455,IDN,261115456.0,9303.0,25.93194352135729
37,Panama,3669201342,6301303156,7067256140.090909,PAN,4034119.0,2177.0,1751.8710132474796
38,Costa Rica,4580459896,6169608810,5975286799.363636,CRI,4857274.0,2025.0,1230.1728910832776
39,Norway,3040287529,5453370720,3757589691.4545455,NOR,5232929.0,4477.0,718.0662476893046
40,Kuwait,2484016406,5143414006,2980747663.5454545,KWT,4052584.0,7280.0,735.5177989019979
41,Honduras,4461359257,5079663953,5060720019.272727,HND,9112867.0,1616.0,555.3378557234213
42,South Africa,5521396823,5020062464,5969450768.363636,ZAF,55908865.0,8945.0,106.77109557426422
43,Ecuador,2935648657,4820700634,5385421969.727273,ECU,16385068.0,2904.0,328.67864629718184
44,Poland,3123428696,4523318939,3487533963.2727275,POL,37948016.0,5158.0,91.9029327718405
45,Austria,3109855557,4275263150,3316111806.818182,AUT,8747358.0,5198.0,379.09867262985944
46,Venezuela,10200506826,4133114819,10430667275.0,,31570000.0,2797.0,330.39807649667404
47,Egypt,5259281033,3991832766,5360667072.363636,,95690000.0,6833.0,56.021183742957845
48,New Zealand,2717562746,3924611227,3241203360.6363635,NZL,4692700.0,7789.0,690.690510928967
49,Sweden,4472726015,3734457331,4495226584.363636,SWE,9903122.0,4776.0,453.9201460270444
50,Qatar,2523625528,3124095821,3627353066.818182,QAT,2569804.0,7629.0,1411.5290764658246
51,El Salvador,2313065522,3057896029,2861473247.0,SLV,6344722.0,1658.0,451.0005713410296
52,Bahamas,2468442608,3057271998,2921959673.6363635,,391232.0,1363.0,7468.611140285977
53,Pakistan,1943577099,2808166960,1890163891.7272727,PAK,193203476.0,7690.0,9.783280978481322
54,Paraguay,1236732017,2719236832,1814722633.8181818,PRY,6725308.0,4820.0,269.83487355793693
55,Czech Republic,1262342930,2273780613,1727403247.8181818,CZE,10561633.0,5129.0,163.55456091100513
56,Morocco,1294157002,2219661823,1969467537.5454547,MAR,35276786.0,4880.0,55.828995803230335
57,Denmark,2889652859,2210191808,2318603222.2727275,DNK,5731118.0,4665.0,404.56386036245067
58,Nigeria,2777942084,2170069073,4037476501.181818,NGA,185989640.0,6624.0,21.708072025849493
59,Jamaica,2315958604,2105505325,1965081546.8181818,JAM,2881355.0,1725.0,681.9991104248459
60,Oman,1059179720,1985049832,1598725533.2727273,OMN,4424762.0,7998.0,361.31333917456516
61,Jordan,856173325,1920886330,1477393593.090909,JOR,9455802.0,6837.0,156.24201871939673
62,Hungary,1291867910,1888233492,1573676848.3636365,HUN,9817958.0,5390.0,160.28555513922922
63,Trinidad and Tobago,1779841581,1816745419,2190540141.090909,TTO,1364962.0,2812.0,1604.8359889073167
64,Ukraine,1342099159,1787999300,1491964691.1818182,UKR,45004645.0,5705.0,33.15134895924228
65,Uruguay,640772589,1599284155,1203814452.2727273,URY,3444006.0,5439.0,349.53901133526693
66,Nicaragua,889963276,1589398811,1115646967.5454543,NIC,6149928.0,1790.0,181.40813478555427
67,Finland,3133422316,1534930626,2329838004.454545,FIN,5495096.0,4874.0,423.9849503001485
68,Bangladesh,455985590,1473961033,793710366.6363636,BGD,162951560.0,8231.0,4.870836257329255
69,Haiti,680188060,1410575337,1079556551.6363637,HTI,10847334.0,1889.0,99.5227538523626
70,Lebanon,825888292,1221529041,1361666391.6363635,LBN,6006668.0,6643.0,226.69246771027855
71,Iraq,1560201195,1204721644,1823032537.636364,IRQ,37202572.0,6934.0,49.002862964323114
72,Portugal,2478481445,1192459324,1340678759.909091,PRT,10324611.0,4558.0,129.85271405470783
73,Gibraltar,593945617,1126417629,2265514134.818182,GIB,34408.0,4801.0,65842.65678964723
74,Luxembourg,925549780,1078074731,1401575799.5454545,LUX,582972.0,4793.0,2404.1905949950506
75,Algeria,1652434839,1059840617,1613674125.0,DZA,40606052.0,5455.0,39.739744336632384
76,Aruba,528763861,966305683,813962632.7272726,ABW,104822.0,2329.0,7765.188917663016
77,Greece,2110206007,960728649,1228700950.8181818,GRC,10746740.0,5852.0,114.33243484239702
78,Romania,676587084,954684233,818750308.2727274,ROU,19705301.0,5627.0,41.549748885983895
79,Afghanistan,495283664,941428060,1239638990.0,AFG,34656032.0,7422.0,35.76979009022153
80,Bahrain,591325145,898156400,988133974.0909091,BHR,1425171.0,7562.0,693.3441489413615
81,Cayman Islands,640184709,885800982,701256766.3636364,CYM,60765.0,1508.0,11540.47175781513
82,Ethiopia,167478262,877152409,826324189.7272726,ETH,102403196.0,8176.0,8.069320314253401
83,Ghana,416384899,859971235,914660859.0909091,GHA,28206728.0,6150.0,32.42704574209774
84,Angola,1242031263,809444868,1425410426.8181818,AGO,28813463.0,7982.0,49.47029195408347
85,Bermuda,660014871,693650060,660583232.8181819,BMU,65331.0,1785.0,10111.328968149606
86,Curacao,0,692167798,415051565.45454544,CUW,159999.0,2390.0,2594.088497144016
87,Lithuania,720302048,609272207,692159700.7272727,LTU,2872298.0,5141.0,240.97767736052205
88,Bolivia,277677271,594703634,661911538.0,BOL,10887882.0,4244.0,60.79341583606435
89,Saint Lucia,165252471,572438902,404674423.3636363,,178015.0,2671.0,2273.260249774661
90,Marshall Islands,22887016,556988101,141535806.54545453,MHL,53066.0,6098.0,2667.165539996505
91,Kazakhstan,752764327,552092011,828630468.4545455,KAZ,17797032.0,6467.0,46.560037002492635
92,Sint Maarten,0,545156190,427999672.7272728,,40005.0,2377.0,10698.654486371024
93,Tunisia,402999020,543575125,600268460.0,TUN,11403248.0,5580.0,52.6401302506093
94,Barbados,456986883,525452357,477364177.27272725,BRB,284996.0,2775.0,1674.9855340872407
95,Macau; SAR of China,226447445,502136131,369609455.0,,612167.0,7927.0,603.7722631242782
96,Togo,287594314,481810854,392964380.09090906,TGO,7606374.0,6223.0,51.66251095343314
97,Kenya,520374633,454453344,644877697.0909091,KEN,48461567.0,8535.0,13.306992262361412
98,Croatia,247039191,447955755,342563339.72727275,HRV,4170600.0,5321.0,82.13766358012582
99,Slovakia,503251782,441620058,364504150.3636363,,5429000.0,5318.0,67.14020084060348
100,Antigua and Barbuda,240400286,425623529,256734519.72727272,ATG,100963.0,2485.0,2542.857479742804
101,Cambodia,138840903,400220962,246205774.81818184,KHM,15762370.0,8761.0,15.619844910262977
102,Iceland,629632708,399258756,447564195.3636363,ISL,334252.0,,1339.0022957637839
103,Georgia,364236656,382865271,455748048.90909094,GEO,3719300.0,,122.53597421802246
104,Latvia,381391440,381621395,395829612.8181818,LVA,1960424.0,,201.91020555664582
105,Bulgaria,306140544,381490292,302178389.3636364,BGR,7127822.0,,42.394210933387
106,Guyana,187879827,377349484,329932554.45454544,GUY,773303.0,,426.65365898560515
107,British Virgin Islands,176177065,377227746,259862647.36363643,VGB,30661.0,,8475.348076176133
108,Slovenia,296840744,371602049,343087345.8181818,SVN,2064845.0,,166.1564649250582
109,Turks and Caicos Islands,395783826,369866125,285084882.09090906,TCA,34900.0,,8168.62126334983
110,Suriname,303625324,359542397,405567059.0,SUR,558368.0,,726.3436640351882
111,Azerbaijan,177607684,354555299,389305848.1818182,AZE,9762274.0,,39.878602893323645
112,Sri Lanka,227147226,336255590,288620324.6363636,LKA,21203000.0,,13.612239996055447
113,C̫te d'Ivoire,161604087,319964133,217113313.54545453,,23700000.0,,9.16089930571538
114,Belize,234216134,294920783,279525756.45454544,BLZ,366954.0,,761.746040251763
115,Malta,207214338,293009573,438840566.8181818,MLT,436947.0,,1004.333630436144
116,Cuba,447061040,291276873,387248368.9090909,CUB,11475982.0,,33.744246802503774
117,Turkmenistan,127290102,282178944,170011431.8181818,TKM,5662544.0,,30.02386062133589
118,Estonia,242279007,273958646,255600930.18181816,EST,1316481.0,,194.1546670113873
119,Benin,289417071,250135870,517163922.0,BEN,10872298.0,,47.567121688533554
120,Guadeloupe,139085169,244842196,326072433.3636364,,405739.0,,803.6507049202477
121,Saint Kitts and Nevis,110676625,243537203,141498261.0909091,,55345.0,,2556.658435105413
122,Burma (Myanmar),8709851,211368799,93061833.27272728,,52890000.0,,1.759535512813902
123,Senegal,150414680,207934050,189760217.18181816,SEN,15411614.0,,12.312806250001989
124,Yemen,642086903,199030638,372428869.7272728,,27580000.0,,13.503584834201334
125,Mozambique,114979532,179126068,256709318.54545453,MOZ,28829476.0,,8.904404594292817
126,Dominica,83832387,178447184,84545334.36363636,DMA,73543.0,,1149.6041005076806
127,Martinique,193908207,168255979,264728508.81818184,,386486.0,,684.9627381539871
128,French Guiana,31342950,162743230,290401317.8181818,,250377.0,,1159.856208110896
129,Cameroon,132920223,158845783,202521509.0,CMR,23439189.0,,8.640295063109905
130,Djibouti,58934056,157467862,134286622.9090909,DJI,942333.0,,142.5044256214002
131,Tanzania; United Republic of,173961966,145242068,214546984.72727272,,55570000.0,,3.860841906195298
132,Liberia,75769497,138340637,158613018.8181818,LBR,4613823.0,,34.377785801098526
133,Uzbekistan,88754314,136094699,194235327.54545453,UZB,31848200.0,,6.098785097602205
134,Iran,144697312,136000618,262605513.36363643,,80280000.0,,3.2711199970557603
135,Libyan Arab Jamahiriya,510834249,134952674,488355514.0,,6293000.0,,77.60297378039091
136,Mauritania,102657391,127777390,149873453.54545453,MRT,4301018.0,,34.8460419243664
137,Serbia,109583090,125604552,132938145.63636364,SRB,7057412.0,,18.836670671396774
138,Brunei,139629502,121111606,253992812.0909091,,423196.0,,600.1777240118269
139,French Polynesia,124414483,119798493,121926648.90909092,PYF,280208.0,,435.1290787882249
140,Namibia,127834398,118561677,188997472.0909091,NAM,2479713.0,,76.21747843033008
141,Congo,140034863,117378013,214726652.54545453,,5125000.0,,41.89788342350332
142,Equatorial Guinea,236399700,111936150,309132213.45454544,GNQ,1221490.0,,253.0779731758307
143,Uganda,80348803,107869624,94707603.63636364,UGA,41487965.0,,2.282772935147907
144,Papua New Guinea,65888833,105851898,180470901.18181816,PNG,8084991.0,,22.3217194900796
145,Guinea,73531245,103022431,112101536.72727272,GIN,12395924.0,,9.043419169661956
146,Grenada,83264328,102991413,82874666.36363636,GRD,107317.0,,772.2417358259769
147,Botswana,53844794,93045279,59975748.63636363,BWA,2250260.0,,26.652808402746185
148,Gabon,477645795,89006490,254801567.9090909,GAB,1979786.0,,128.70157072991267
149,Zambia,69394927,85149483,94961541.09090908,ZMB,16591390.0,,5.723543421672872
150,Cyprus,169018830,82401930,147826750.45454547,CYP,1170125.0,,126.33415272261124
151,Mongolia,26032828,82192362,170284545.63636363,MNG,3027398.0,,56.247822597611425
152,Saint Vincent and the Grenadines,68952798,81348131,86204065.9090909,,109643.0,,786.2249838940097
153,Sierra Leone,55420539,79185252,73812133.63636364,SLE,7396190.0,,9.979750876649145
154,Democratic Republic of Congo,112907113,76260999,129844749.09090908,,78740000.0,,1.6490316115177683
155,Nepal,28966464,75851857,37793298.81818182,NPL,28982771.0,,1.3039919067152628
156,Belarus,101544112,72668182,116401237.18181822,BLR,9507120.0,,12.243585563432271
157,Somalia,20693618,70594917,29043121.90909091,SOM,14317996.0,,2.0284348388622897
158,Sudan,79129315,69654352,81525582.72727273,SDN,39578828.0,,2.0598281163674863
159,Fiji,29942761,66551898,53021537.18181818,FJI,898760.0,,58.99409985070339
160,Rwanda,16050053,66140569,41172207.45454545,RWA,11917508.0,,3.454766504418999
161,Albania,33965115,62086804,48999188.36363637,ALB,2876101.0,,17.03667164805282
162,Mali,31901355,62015550,49773688.81818182,MLI,17994837.0,,2.76599831486008
163,Mauritius,49793601,61421605,57993096.0,MUS,1263473.0,,45.89975092463393
164,Burkina Faso,33139512,60978397,46671359.0,BFA,18646433.0,,2.5029644543811678
165,Anguilla,92544430,59409382,50909216.0,,14764.0,,3448.1994039555675
166,New Caledonia,57785454,59362579,84676591.9090909,NCL,278000.0,,304.5920572269457
167,Armenia,110609110,55005606,82877299.36363636,ARM,2924816.0,,28.335901938322397
168,Madagascar,32129605,53367175,64183425.72727273,MDG,24894551.0,,2.5782118234336795
169,Micronesia (Federated States of),37824810,44827548,44831712.72727273,,104937.0,,427.225027657287
170,Niger,69308772,44082049,54425186.27272727,NER,20672987.0,,2.6326716247017075
171,Monaco,42757654,42263572,90345796.45454544,MCO,38499.0,,2346.7050171314954
172,Macedonia,33561327,41225784,35892096.36363637,,2081000.0,,17.247523480844002
173,Zimbabwe,105250099,39926035,62116297.72727273,ZWE,16150362.0,,3.846124175252092
174,Gambia,20000988,39235769,32815210.63636364,,2039000.0,,16.093776673057206
175,Samoa,16716327,38309271,23332725.72727273,WSM,195125.0,,119.5783509405393
176,British Indian Ocean Territory,978717,36334868,5068159.454545454,,2500.0,,2027.2637818181815
177,Bhutan,4050496,34892754,5897750.636363638,BTN,797765.0,,7.3928420479259405
178,Maldives,19321264,34373287,28950464.54545455,MDV,417492.0,,69.34375879167636
179,Chad,66242263,31338485,52892652.0,TCD,14452543.0,,3.6597470770368923
180,Malawi,51499475,27880840,46514228.90909091,MWI,18091575.0,,2.571043643745274
181,Liechtenstein,16183424,27744402,29405955.27272727,LIE,37666.0,,780.702895787375
182,Bosnia and Herzegovina,20153042,27142924,27972827.54545455,BIH,3516816.0,,7.954020780573835
183,Kyrgyzstan,48651043,26066859,66594486.0,,6083000.0,,10.947638665132336
184,Lao People's Democratic Republic,5464940,25671660,22782215.90909091,,6758000.0,,3.371147663375394
185,Swaziland,29002898,24073435,24193486.09090909,SWZ,1343098.0,,18.013194935074797
186,Palau,13803500,19432665,18175375.09090909,PLW,21503.0,,845.2483416690271
187,Tajikistan,52685573,17911115,51757230.18181818,TJK,8734951.0,,5.9253028645287396
188,Moldova; Republic of,52668339,17614764,35524242.54545455,,3552000.0,,10.00119441031941
189,Tonga,13233104,16719457,17433655.454545453,TON,107122.0,,162.74579875791576
190,Seychelles,9473317,15488847,16215852.272727273,SYC,94677.0,,171.27551858135845
191,South Sudan,0,13574310,12945098.181818182,SSD,12230730.0,,1.0584076487518064
192,Central African Republic,19747922,11178603,17914543.818181816,CAF,4594621.0,,3.89902536426439
193,Kosovo,0,10070786,11967971.818181818,XKX,1816200.0,,6.589567128169705
194,Greenland,4418684,9884715,11997722.090909092,GRL,56186.0,,213.5357934522673
195,Montserrat,4774256,9708109,7551787.7272727275,,4900.0,,1541.1811688311689
196,Solomon Islands,5438181,9303881,6869656.454545454,SLB,599419.0,,11.46052503264904
197,Montenegro,45306063,9148718,23160183.27272727,MNE,622781.0,,37.18832667137769
198,Cape Verde,5571564,9146393,8635650.090909092,,539560.0,,16.004985712263867
199,Reunion,4753124,8376879,61636380.81818182,,843617.0,,73.06204215678657
200,Burundi,6930327,8132760,12225718.545454545,BDI,10524117.0,,1.1616859205817025
201,Vanuatu,23948479,7762425,26572306.72727273,VUT,270402.0,,98.26963826921668
202,Syrian Arab Republic,361420332,6961023,169919777.9090909,SYR,18430453.0,,9.219511745538263
203,Cook Islands,2393727,5243873,4132128.3636363638,,17459.0,,236.6761191154341
204,Eritrea,6112826,5021254,6422569.454545454,,4475000.0,,1.4352110512950735
205,Kiribati,1149509,4928546,5386173.636363637,KIR,114395.0,,47.083995247726186
206,Guinea Bissau,6615356,3751655,5956677.090909091,,1816000.0,,3.2801085302362836
207,Andorra,14463888,3285167,6703094.090909091,AND,77281.0,,86.73663760703266
208,Sao Tome and Principe,8414824,3140792,3011853.0,STP,199910.0,,15.066044720124056
209,French Southern Territories,392357,2842721,3148199.8181818184,,650.0,,4843.384335664336
210,East Timor,10930555,2565401,3769423.6363636362,,1269000.0,,2.970388996346443
211,West Bank,13009291,2192360,2197557.090909091,,1700000.0,,1.29268064171123
212,San Marino,13890976,2109451,5302310.2727272725,SMR,33203.0,,159.69371059022595
213,Faroe Islands,2800199,2034537,4200433.545454546,FRO,49117.0,,85.51893530660557
214,Svalbard and Jan Mayen Island,926112,1986719,1940412.8181818181,,2667.0,,727.5638613355148
215,Lesotho,7525706,1901616,6833182.363636362,LSO,2203821.0,,3.1006067932179437
216,Comoros,367032,1375097,1535879.1818181819,COM,795601.0,,1.9304641168351748
217,Tokelau Islands,55422404,1162557,12374990.727272727,,1500.0,,8249.993818181818
218,Vatican City,18266111,1146853,4947302.363636363,,1000.0,,4947.302363636363
219,Tuvalu,51512,796156,545860.3636363636,TUV,11097.0,,49.18990390523237
220,Saint Helena,3279597,587754,2187328.090909091,,4534.0,,482.4278983037254
221,Gaza Strip,4634860,555101,723445.1818181819,,1816000.0,,0.3983728974769724
222,Mayotte,243119,493107,4869194.0,,204000.0,,23.868598039215687
223,Falkland Islands (Malvinas),973369,482089,2648122.272727273,,3398.0,,779.317914281128
224,Christmas Island,2544078,476695,2504454.727272727,,1402.0,,1786.3443133186356
225,Cocos (Keeling) Islands,1231015,452079,3295898.0,,596.0,,5530.0302013422815
226,Western Sahara,344442,418356,155958.27272727276,,513000.0,,0.3040122275385434
227,Saint Pierre and Miquelon,221553,390569,183369.45454545453,,6080.0,,30.159449760765547
228,Wallis and Futuna,212545,300526,460408.3636363636,,11899.0,,38.69302997196097
229,Nauru,8140371,198927,2933317.8181818184,NRU,13049.0,,224.79253721984966
230,Norfolk Island,1527492,138341,1131868.0909090908,,2169.0,,521.8386772287187
231,Heard Island and Mcdonald Islands,1721670,125829,1516726.2727272727,0,1.0,0,1516726.2727272727
232,Niue,1662323,86722,639546.6363636364,,1624.0,,393.8095051500224
233,North Korea,1728160,2660,10404151.181818182,,25370000.0,0,0.4100966173361522
234,Pitcairn Islands,1894797,1431,240818.1818181818,0,50.0,0,4816.363636363636
235,Serbia and Montenegro,0,0,0.0,,10830000.0,0,0.0
236,Other Countries,441208607,0,165088660.27272728,0,0,0,0
237,Netherlands Antilles,2082020131,0,1019973093.7272726,0,227049.0,0,4492.30383629645
238,East Germany,0,0,0.0,0,0,0,0
